#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
NaN, 858.2, NaN, NaN, 0.0, NaN, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3704.0, NaN, 175.9, NaN, NaN, 0.0, 0.0, 0.0, -0.01, 17.0, 2.19, -0.94, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -16.0, NaN, NaN, NaN, NaN
NaN, 858.2, NaN, NaN, 0.0, NaN, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3704.0, NaN, 175.9, NaN, NaN, 0.0, 0.01, 3.2, 0.03, 17.0, 2.22, -0.93, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -16.0, 0.0, NaN, NaN, NaN
NaN, 858.2, NaN, NaN, 0.0, NaN, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3704.0, NaN, 175.8, NaN, NaN, 0.0, 0.01, 3.2, 0.01, 17.0, 2.21, -0.92, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -16.0, 0.0, NaN, NaN, NaN
0.0, 858.2, 740.3, 828.1, 0.0, NaN, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 175.8, 112.0, NaN, 0.0, 0.01, 3.2, -0.0, 17.0, 2.2, -0.93, NaN, 0.0, NaN, 265.0, 0.0, NaN, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 858.2, 740.1, 827.9, 0.0, NaN, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 175.8, 112.0, NaN, 0.0, 0.02, 3.2, 0.03, 17.0, 2.22, -0.93, NaN, 0.0, NaN, 265.0, 0.0, NaN, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 858.2, 739.8, 827.6, 0.0, NaN, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 175.8, 112.0, NaN, 0.0, 0.02, 3.2, 0.04, 17.0, 2.22, -0.91, NaN, 0.0, NaN, 265.0, 0.0, NaN, NaN, -9.22, -30.0, 0.0, NaN, NaN
0.0, 857.2, 739.7, 827.5, 0.0, 7.8, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 61.309999999999945, 1086.4, 1051.91, 1113.22, 1097.85, 2.64, 64.3, 142.62, 1191.5, NaN, 24.0, 0.0, 3704.0, NaN, 175.8, 112.0, NaN, 0.0, 0.0, 3.2, 0.03, 17.0, 2.21, -0.91, NaN, 0.0, NaN, 265.0, 0.0, 28.1, NaN, -14.87, -30.0, 0.0, NaN, NaN
0.0, 857.2, 739.4, 827.2, 0.0, 7.8, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 51.90000000000009, 1086.7, 1061.0, 1112.9, 1100.7, 2.68, NaN, NaN, 1156.8, 18.56, 24.0, 0.0, 3704.0, NaN, 175.8, 112.0, NaN, 0.0, 0.02, 3.2, 0.03, 17.0, 2.21, -0.9, NaN, 0.0, 42.56, 265.0, 0.0, 28.1, NaN, -15.96, 0.0, 0.0, NaN, NaN
0.0, 857.2, 741.8, 829.6, 0.0, 7.7, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 76.84999999999991, 1087.8, 1063.16, 1140.01, 1104.75, 2.73, 64.11, 142.52, 1166.3, 18.53, 24.0, 0.0, 3704.0, NaN, 175.8, 100.0, NaN, 0.0, 0.02, 3.2, -0.02, 17.0, 2.21, -0.89, NaN, 0.0, 42.53, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 740.6, 828.4, 0.0, 7.5, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 89.44000000000005, 1084.98, 1069.22, 1158.66, 1106.83, 2.74, 64.39, 142.34, 1181.3, 18.56, 24.0, 0.0, 3704.0, NaN, 175.7, 99.0, NaN, 0.0, 0.01, 3.2, -0.03, 17.0, 2.21, -0.9, NaN, 0.0, 42.56, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 3.9, NaN, NaN
