#AfcsOn, AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 CHT1, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 MAP, E1 OilP, E1 OilT, E1 RPM, E2 CHT1, E2 EGT Divergence, E2 EGT1, E2 EGT2, E2 EGT3, E2 EGT4, E2 FFlow, E2 MAP, E2 OilP, E2 OilT, E2 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, PichC, Pitch, Roll, RollC, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AfcsOn, AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 CHT1, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 MAP, E1 OilP, E1 OilT, E1 RPM, E2 CHT1, E2 EGT Divergence, E2 EGT1, E2 EGT2, E2 EGT3, E2 EGT4, E2 FFlow, E2 MAP, E2 OilP, E2 OilT, E2 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, PichC, Pitch, Roll, RollC, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
NaN, NaN, 818.2, NaN, NaN, 0.0, NaN, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3704.0, NaN, 177.9, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 15.5, NaN, 1.36, 0.31, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -15.89, NaN, NaN, NaN, NaN
NaN, NaN, 818.2, NaN, NaN, 0.0, NaN, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3704.0, NaN, 177.8, NaN, NaN, 0.0, -0.01, 3.2, 0.01, 15.5, NaN, 1.37, 0.34, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.35, 0.0, NaN, NaN, NaN
NaN, NaN, 818.2, NaN, NaN, 0.0, NaN, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3704.0, NaN, 177.8, NaN, NaN, 0.0, 0.01, 3.2, 0.0, 15.5, NaN, 1.37, 0.33, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -4.84, 0.0, NaN, NaN, NaN
0.0, 7.0, 818.2, 752.6, 840.4, 0.0, NaN, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, -0.0, 3.2, 0.01, 15.5, NaN, 1.38, 0.31, NaN, NaN, 0.0, NaN, 266.7, 0.0, NaN, NaN, NaN, NaN, -15.41, -30.0, 3.9, NaN, NaN
0.0, 6.0, 817.2, 751.8, 839.6, 0.0, 5.9, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, 1028.43, NaN, 1.58, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.01, 3.2, -0.01, 15.5, NaN, 1.37, 0.32, NaN, NaN, 0.0, NaN, 266.7, 0.0, NaN, NaN, NaN, NaN, -15.98, -30.0, 3.9, NaN, NaN
0.0, 6.0, 817.2, 751.7, 839.5, 0.0, 5.9, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.0, 3.2, 0.0, 15.5, NaN, 1.38, 0.31, NaN, NaN, 0.0, NaN, 266.7, 0.0, NaN, NaN, NaN, NaN, -16.0, 0.0, 3.9, NaN, NaN
0.0, 6.0, 817.2, 752.1, 839.8, 0.0, NaN, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.01, 3.2, 0.01, 15.5, NaN, 1.37, 0.31, NaN, NaN, 0.0, NaN, 266.7, 0.0, NaN, NaN, NaN, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 6.0, 817.2, 751.9, 839.7, 0.0, NaN, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.02, 3.2, 0.0, 15.5, NaN, 1.37, 0.32, NaN, NaN, 0.0, NaN, 266.7, 0.0, NaN, NaN, NaN, NaN, -16.0, 0.0, 3.9, NaN, NaN
0.0, 6.0, 817.2, 752.0, 839.7, 0.0, 5.5, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 227.61, 150.27999999999997, 888.55, 897.87, 1038.83, 890.2, 1.54, 12.14, 49.94, 137.16, 1002.5, 179.95, 26.039999999999964, 904.94, 909.49, 930.98, 913.32, 1.65, 12.61, 50.62, 133.06, 1026.3, 48.5, 51.22, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.01, 3.2, -0.01, 15.5, NaN, 1.37, 0.33, NaN, NaN, 0.0, 99.72, 266.7, 0.0, NaN, NaN, 28.8, NaN, -15.39, 30.0, 0.0, NaN, NaN
0.0, 6.0, 818.2, 752.0, 839.8, 0.0, 5.5, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 228.14, 150.68000000000006, 888.51, 898.75, 1039.19, 891.79, 1.45, 12.12, 49.87, 137.12, 983.3, 180.64, 22.629999999999995, 910.24, 913.02, 932.87, 915.52, 1.48, 12.63, 50.65, 132.98, 1027.9, 48.41, 51.18, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, 0.01, 3.2, -0.01, 15.5, NaN, 1.35, 0.34, NaN, NaN, 0.0, 99.59, 266.7, 0.0, NaN, NaN, 28.8, NaN, -4.28, 0.0, 0.0, NaN, NaN
0.0, 7.0, 817.2, 752.8, 840.6, NaN, 5.4, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 228.75, 161.4799999999999, 888.88, 899.95, 1050.36, 891.8, 1.49, 12.2, 49.64, 137.08, 981.0, 181.25, 20.99000000000001, 911.81, 915.61, 932.8, 916.19, 1.51, 12.56, 50.92, 132.94, 1043.7, 48.34, 51.23, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.01, 3.2, -0.0, 15.5, NaN, 1.36, 0.34, NaN, NaN, 0.0, 99.57, 266.7, 0.0, NaN, NaN, 28.8, NaN, -0.18, -30.0, 0.0, NaN, NaN
0.0, 7.0, 817.2, 752.9, 840.7, NaN, 5.4, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 229.28, 168.1099999999999, 890.45, 902.88, 1058.56, 892.77, 1.43, 12.29, 49.6, 137.05, 982.8, 181.95, 23.120000000000005, 911.15, 917.35, 934.27, 915.64, 1.65, 12.47, 50.98, 132.84, 1044.0, 48.44, 51.36, 0.0, 3704.0, NaN, 177.8, 98.5, NaN, 0.0, -0.0, 3.2, 0.0, 15.5, NaN, 1.35, 0.34, NaN, NaN, 0.0, 99.8, 266.7, 0.0, NaN, NaN, 28.8, NaN, -7.06, 30.0, 0.0, NaN, NaN
0.0, 7.0, 818.2, 752.7, 840.5, NaN, 5.3, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 229.81, 165.16999999999996, 893.83, 905.32, 1059.0, 895.0, 1.43, 12.32, 49.54, 137.0, 973.4, 182.72, 21.480000000000018, 915.0, 919.84, 936.48, 915.31, 1.64, 12.48, 50.95, 132.75, 1039.5, 48.6, 51.46, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, -0.01, 3.2, 0.01, 15.5, NaN, 1.35, 0.33, NaN, NaN, 0.0, 100.06, 266.7, 0.0, NaN, NaN, 28.8, NaN, -5.32, 30.0, 0.0, NaN, NaN
0.0, 7.0, 818.2, 752.8, 840.6, 0.20000000000004547, 5.3, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 230.36, 163.7800000000001, 895.44, 907.31, 1058.95, 895.17, 1.51, 12.33, 49.62, 136.95, 985.7, 183.35, 20.09999999999991, 918.36, 922.63, 937.04, 916.94, 1.64, 12.47, 50.96, 132.7, 1041.6, 48.73, 51.37, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, 0.0, 3.2, 0.0, 15.5, NaN, 1.35, 0.33, NaN, NaN, 0.0, 100.1, 266.7, 0.0, NaN, NaN, 28.8, NaN, -0.26, -30.0, 3.9, NaN, NaN
0.0, 7.0, 817.2, 753.0, 840.8, 1.1999999999999318, 5.2, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 230.88, 158.7199999999999, 896.07, 906.1, 1054.79, 896.7, 1.64, 12.31, 49.58, 136.87, 978.8, 184.14, 22.620000000000005, 918.02, 924.85, 940.64, 918.72, 1.68, 12.47, 51.01, 132.6, 1043.8, 48.71, 51.51, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, 0.0, 3.2, 0.0, 15.5, NaN, 1.34, 0.32, NaN, NaN, 0.0, 100.22, 266.7, 0.0, NaN, NaN, 28.8, NaN, -11.41, -30.0, 3.9, NaN, NaN
0.0, 7.0, 817.2, 753.2, 841.0, 1.5, 5.2, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 231.41, 166.5000000000001, 895.41, 905.48, 1061.91, 899.94, 1.59, 12.29, 49.62, 136.86, 983.7, 184.8, 24.629999999999995, 917.5, 927.88, 942.13, 921.02, 1.67, 12.44, 51.05, 132.56, 1046.9, 48.62, 51.45, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, -0.01, 3.2, 0.01, 15.5, NaN, 1.33, 0.32, NaN, NaN, 0.0, 100.07, 266.7, 0.0, NaN, NaN, 28.8, NaN, -15.82, 0.0, 3.9, NaN, NaN
0.0, 7.0, 817.2, 752.6, 840.4, 0.6000000000000227, 5.1, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 231.95, 168.09000000000003, 896.35, 902.94, 1064.44, 903.13, 1.5, 12.27, 49.75, 136.8, 991.1, 185.44, 21.25, 921.18, 929.3, 942.43, 925.52, 1.7, 12.47, 51.05, 132.49, 1044.8, 48.59, 51.39, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, -0.0, 3.2, 0.0, 15.5, NaN, 1.34, 0.33, NaN, NaN, 0.0, 99.98, 266.7, 0.0, NaN, NaN, 28.8, NaN, -16.0, 0.0, 3.9, NaN, NaN
